category	english	chinese	aliases
敌人/目标	Scavenger	食腐虫	
敌人/目标	Bile Spitter	胆汁吐沫虫	
敌人/目标	Pouncer	猛扑虫	
敌人/目标	Hunter	追猎虫	
敌人/目标	Shrieker	尖啸虫	
敌人/目标	Warrior	武斗虫	
敌人/目标	Bile Warrior	吐酸武斗虫	
敌人/目标	Alpha Warrior	阿尔法武斗虫	
敌人/目标	Hive Guard	虫窝护卫	
敌人/目标	Nursing Spewer	抚育喷涌虫	
敌人/目标	Bile Spewer	胆汁喷涌虫	
敌人/目标	Brood Commander	虫族指挥官	
敌人/目标	Alpha Commander	阿尔法指挥官	
敌人/目标	Stalker	追踪虫	
敌人/目标	Charger	强袭虫	
敌人/目标	Spore Charger	孢子强袭虫	
敌人/目标	Charger Behemoth	巨兽级强袭虫	
敌人/目标	Impaler	穿刺虫	
敌人/目标	Bile Titan	吐酸泰坦	
敌人/目标	Dragonroach	蟑龙	
敌人/目标	Hive Lord	霸王虫	
敌人/目标	Predator Hunter	掠食追猎虫	
敌人/目标	Predator Stalker	掠食追踪虫	
敌人/目标	Spore Burst Scavenger	孢裂食腐虫	
敌人/目标	Spore Burst Hunter	孢裂追猎虫	
敌人/目标	Spore Burst Warrior	孢裂武斗虫	
敌人/目标	Spore Burst Bile Titan	孢裂吐酸泰坦	
敌人/目标	Rupture Warrior	爆裂武斗虫	
敌人/目标	Rupture Spewer	爆裂喷涌虫	
敌人/目标	Rupture Charger	爆裂强袭虫	
敌人/目标	Bug Hole	虫穴	
敌人/目标	Bug Nest	虫族巢穴	
敌人/目标	Purge Hatcheries	清除孵化点	
敌人/目标	Shrieker Nest	尖啸虫巢穴	
敌人/目标	Spore Spewer	孢子喷涌虫	
敌人/目标	Stalker Lair	追踪虫巢穴	
敌人/目标	Trooper	装甲兵	
敌人/目标	Brawler	乱斗者	
敌人/目标	Commissar	机械统帅	
敌人/目标	Rocket Raider	火箭奇袭者	
敌人/目标	Assault Raider	特攻奇袭者	
敌人/目标	Marauder	劫掠者	
敌人/目标	MG Raider	机枪奇袭者	
敌人/目标	Berserker	狂暴者	
敌人/目标	Devastator	蹂躏者	
敌人/目标	Rocket Devastator	火箭蹂躏者	
敌人/目标	Heavy Devastator	重型蹂躏者	
敌人/目标	Scout Strider	侦察纵步者	
敌人/目标	Reinforced Scout Strider	强化侦察纵步者	
敌人/目标	Hulk Obliterator	巨型抹煞者	
敌人/目标	Hulk Scorcher	巨型炙炎者	
敌人/目标	Hulk Bruiser	巨型碾压者	
敌人/目标	War Strider	战争纵步者	
敌人/目标	Annihilator Tank	湮灭坦克	
敌人/目标	Shredder Tank	碎裂坦克	
敌人/目标	Barrager Tank	铁幕坦克	
敌人/目标	Gunship	炮舰	
敌人/目标	Dropship	运输舰	
敌人/目标	Factory Strider	移动工厂	
敌人/目标	Jet Brigade Commissar	喷气旅机械统帅	
敌人/目标	Jet Brigade Trooper	喷气旅装甲兵	
敌人/目标	Jet Brigade MG Raider	喷气旅机枪装甲兵	Jet Brigade MG Trooper
敌人/目标	Jet Brigade Devastator	喷气旅蹂躏者	
敌人/目标	Jet Brigade Hulk Scorcher	喷气旅巨型炙炎者	
敌人/目标	Jet Brigade Hulk Bruiser	喷气旅巨型碾压者	
敌人/目标	Pyro Trooper	炙焰装甲兵	
敌人/目标	Incendiary Rocket Raider	燃烧火箭奇袭者	
敌人/目标	Incendiary MG Devastator	燃烧机枪蹂躏者	
敌人/目标	Conflagration Devastator	烈火蹂躏者	
敌人/目标	Hulk Firebomber	巨型烈焰轰炸者	
